label,frame_id,subframes,rotation_degrees,x_shift,y_shift,top_left_x_pixels,top_left_y_pixels,sizeX,sizeY,flip_x,flip_y
item,0,1,0,-8,-8,0,32,16,16,FALSE,FALSE
item,1,1,0,-8,-8,16,32,16,16,FALSE,FALSE
item,2,1,0,-8,-8,32,32,16,16,FALSE,FALSE
item,3,1,0,-8,-8,48,32,16,16,FALSE,FALSE
item,4,1,0,-8,-8,64,32,16,16,FALSE,FALSE
item,5,1,0,-8,-8,80,32,16,16,FALSE,FALSE
item,6,1,0,-8,-8,96,32,16,16,FALSE,FALSE
item,7,1,0,-8,-8,112,32,16,16,FALSE,FALSE
item,8,1,0,-8,-8,128,32,16,16,FALSE,FALSE
item,9,1,0,-8,-8,144,32,16,16,FALSE,FALSE
item,10,1,0,-8,-8,160,32,16,16,FALSE,FALSE
item,11,1,0,-8,-8,176,32,16,16,FALSE,FALSE
item,12,1,0,-8,-8,192,32,16,16,FALSE,FALSE
item,13,1,0,-8,-8,208,32,16,16,FALSE,FALSE
item,14,1,0,-8,-8,224,32,16,16,FALSE,FALSE
item,15,1,0,-8,-8,0,48,16,16,FALSE,FALSE
item,16,1,0,-8,-8,16,48,16,16,FALSE,FALSE
item,17,1,0,-8,-8,32,48,16,16,FALSE,FALSE
item,18,1,0,-8,-8,48,48,16,16,FALSE,FALSE
item,19,1,0,-8,-8,64,48,16,16,FALSE,FALSE
item,20,1,0,-8,-8,80,48,16,16,FALSE,FALSE
item,21,1,0,-8,-8,96,48,16,16,FALSE,FALSE
item,22,1,0,-8,-8,112,48,16,16,FALSE,FALSE
item,23,1,0,-8,-8,128,48,16,16,FALSE,FALSE
item,24,1,0,-8,-8,144,48,16,16,FALSE,FALSE
item,25,1,0,-8,-8,160,48,16,16,FALSE,FALSE
item,26,1,0,-8,-8,176,48,16,16,FALSE,FALSE
item,27,1,0,-8,-8,192,48,16,16,FALSE,FALSE
item,28,1,0,-8,-8,208,48,16,16,FALSE,FALSE
item,29,1,0,-8,-8,224,48,16,16,FALSE,FALSE
item,30,1,0,-8,-8,0,64,16,16,FALSE,FALSE
item,31,1,0,-8,-8,16,64,16,16,FALSE,FALSE
item,32,1,0,-8,-8,32,64,16,16,FALSE,FALSE
item,33,1,0,-8,-8,48,64,16,16,FALSE,FALSE
item,34,1,0,-8,-8,64,64,16,16,FALSE,FALSE
item,35,1,0,-8,-8,80,64,16,16,FALSE,FALSE
item,36,1,0,-8,-8,96,64,16,16,FALSE,FALSE
item,37,1,0,-8,-8,112,64,16,16,FALSE,FALSE
item,38,1,0,-8,-8,128,64,16,16,FALSE,FALSE
item,39,1,0,-8,-8,144,64,16,16,FALSE,FALSE
item,40,1,0,-8,-8,160,64,16,16,FALSE,FALSE
item,41,1,0,-8,-8,176,64,16,16,FALSE,FALSE
item,42,1,0,-8,-8,192,64,16,16,FALSE,FALSE
item,43,1,0,-8,-8,208,64,16,16,FALSE,FALSE
item,44,1,0,-8,-8,224,64,16,16,FALSE,FALSE
item,45,1,0,-8,-8,0,80,16,16,FALSE,FALSE
item,46,1,0,-8,-8,16,80,16,16,FALSE,FALSE
item,47,1,0,-8,-8,32,80,16,16,FALSE,FALSE
item,48,1,0,-8,-8,48,80,16,16,FALSE,FALSE
item,49,1,0,-8,-8,64,80,16,16,FALSE,FALSE
item,50,1,0,-8,-8,80,80,16,16,FALSE,FALSE
item,51,1,0,-8,-8,96,80,16,16,FALSE,FALSE
item,52,1,0,-8,-8,112,80,16,16,FALSE,FALSE
item,53,1,0,-8,-8,128,80,16,16,FALSE,FALSE
item,54,1,0,-8,-8,144,80,16,16,FALSE,FALSE
item,55,1,0,-8,-8,160,80,16,16,FALSE,FALSE
item,56,1,0,-8,-8,176,80,16,16,FALSE,FALSE
item,57,1,0,-8,-8,192,80,16,16,FALSE,FALSE
item,58,1,0,-8,-8,208,80,16,16,FALSE,FALSE
item,59,1,0,-8,-8,224,80,16,16,FALSE,FALSE
item,60,1,0,-8,-8,0,96,16,16,FALSE,FALSE
item,61,1,0,-8,-8,16,96,16,16,FALSE,FALSE
item,62,1,0,-8,-8,32,96,16,16,FALSE,FALSE
item,63,1,0,-8,-8,48,96,16,16,FALSE,FALSE
item,64,1,0,-8,-8,64,96,16,16,FALSE,FALSE
item,65,1,0,-8,-8,80,96,16,16,FALSE,FALSE
item,66,1,0,-8,-8,96,96,16,16,FALSE,FALSE
item,67,1,0,-8,-8,112,96,16,16,FALSE,FALSE
item,68,1,0,-8,-8,128,96,16,16,FALSE,FALSE
item,69,1,0,-8,-8,144,96,16,16,FALSE,FALSE
item,70,1,0,-8,-8,160,96,16,16,FALSE,FALSE
item,71,1,0,-8,-8,176,96,16,16,FALSE,FALSE
item,72,1,0,-8,-8,192,96,16,16,FALSE,FALSE
item,73,1,0,-8,-8,208,96,16,16,FALSE,FALSE
