label,frame_id,num_subframes,rotation_degrees,transparency_type,transparency_flag,shift_x,shift_y,top_left_x_pixels,top_left_y_pixels,sizeX,sizeY,flip_x,flip_y
wep2,0,1,135,0,false,-18,14,0,72,16,16,true,true
wep2,1,1,90,0,false,-25,1,0,72,16,16,true,true
wep2,2,1,70.049,0,false,-12,-1,0,72,16,16,true,true
wep2,3,1,90,0,false,-32,5,16,72,16,16,true,true
wep2,4,1,0,0,false,-19,-30,16,72,16,16,false,true
wep2,5,1,90,0,false,-16,4,0,72,16,16,true,true
wep2,6,1,0,0,false,-20,-44,16,72,16,16,false,false
wep2,7,1,135,0,false,-37,8,0,72,16,16,false,false
wep2,8,1,90,0,false,-39,-23,16,72,16,16,false,false
wep2,9,1,90,0,false,-29,11,16,72,16,16,false,true
wep2,10,1,90,0,false,-24,12,16,72,16,16,false,true
wep2,11,1,135,0,false,7,-1,0,72,16,16,true,true
wep2,12,1,45,0,false,-40,-15,0,72,16,16,false,true
wep2,13,1,45,0,false,-44,-14,0,72,16,16,false,false
wep2,14,1,90,0,false,-29,11,16,72,16,16,false,true
wep2,15,1,45,0,false,-43,-16,0,72,16,16,false,false
wep2,16,1,45,0,false,-43,-14,0,72,16,16,false,false
wep2,17,1,45,0,false,-43,-14,0,72,16,16,false,false
wep2,18,1,45,0,false,-30,2,16,72,16,16,false,true
wep2,19,1,45,0,false,-29,3,16,72,16,16,false,true
wep2,20,1,90,0,false,-22,12,16,72,16,16,false,true
wep2,21,1,135,0,false,2,9,0,72,16,16,true,true
wep2,22,1,0,0,false,-22,-3,16,72,16,16,false,true
wep2,23,1,135,0,false,8,-1,0,72,16,16,true,true
wep2,24,1,135,0,false,-39,10,0,72,16,16,false,false
wep2,25,1,90,0,false,-40,-22,16,72,16,16,false,false
wep2,26,1,90,0,false,-37,-28,16,72,16,16,false,false
wep2,27,1,0,0,false,-24,-40,16,72,16,16,false,false
wep2,28,1,90,0,false,-26,10,16,72,16,16,false,true
wep2,29,1,90,0,false,-9,10,16,72,16,16,true,true
wep2,30,1,90,0,false,-17,10,16,72,16,16,false,true
wep2,31,1,90,0,false,-25,10,16,72,16,16,false,true
wep2,32,1,0,0,false,-18,-47,16,72,16,16,false,false
wep2,33,1,0,0,false,-14,-37,16,72,16,16,false,false
wep2,34,1,0,0,false,-18,-47,16,72,16,16,false,false
wep2,35,1,0,0,false,-22,-45,16,72,16,16,false,false
wep2,36,1,0,0,false,-23,-45,16,72,16,16,false,false
wep2,37,1,0,0,false,-21,-39,16,72,16,16,false,false
wep2,38,1,45,0,false,-34,-11,0,72,16,16,false,false
wep2,39,1,45,0,false,-34,-10,0,72,16,16,false,false
wep2,40,1,45,0,false,-39,-19,0,72,16,16,false,false
wep2,41,1,90,0,false,-25,8,16,72,16,16,false,true
wep2,42,1,90,0,false,-16,9,16,72,16,16,false,true
wep2,43,1,135,0,false,-18,14,200,0,24,16,true,false
wep2,44,1,90,0,false,-25,2,200,0,24,16,true,false
wep2,45,1,70.049,0,false,-13,-1,200,0,24,16,true,false
wep2,46,1,0,0,false,-28,-32,224,0,24,16,false,false
wep2,47,1,90,0,false,-31,3,224,0,24,16,true,false
wep2,48,1,90,0,false,-17,5,200,0,24,16,true,false
wep2,49,1,90,0,false,-51,4,224,0,24,16,false,false
wep2,50,1,135,0,false,-44,7,200,0,24,16,false,false
wep2,51,1,0,0,false,5,-39,224,0,24,16,true,true
wep2,52,1,0,0,false,-34,-29,224,0,24,16,false,true
wep2,53,1,0,0,false,-34,-29,224,0,24,16,false,true
wep2,54,1,0,0,false,-34,-29,224,0,24,16,false,true
wep2,55,1,45,0,false,-48,-15,200,0,24,16,false,true
wep2,56,1,45,0,false,-52,-14,200,0,24,16,false,false
wep2,57,1,0,0,false,-34,-29,224,0,24,16,false,true
wep2,58,1,45,0,false,-51,-16,200,0,24,16,false,false
wep2,59,1,45,0,false,-51,-14,200,0,24,16,false,false
wep2,60,1,45,0,false,-51,-14,200,0,24,16,false,false
wep2,61,1,0,0,false,-37,-15,224,0,24,16,false,false
wep2,62,1,0,0,false,-37,-13,224,0,24,16,false,false
wep2,63,1,0,0,false,-36,-22,224,0,24,16,false,true
wep2,64,1,135,0,false,2,10,200,0,24,16,true,true
wep2,65,1,90,0,false,-3,7,224,0,24,16,true,false
wep2,66,1,135,0,false,8,-1,200,0,24,16,true,true
wep2,67,1,135,0,false,-48,9,200,0,24,16,false,false
wep2,68,1,0,0,false,6,-40,224,0,24,16,true,true
wep2,69,1,0,0,false,12,-37,224,0,24,16,true,true
wep2,70,1,90,0,false,-48,8,224,0,24,16,false,false
wep2,71,1,0,0,false,-33,-28,224,0,24,16,false,true
wep2,72,1,0,0,false,-33,-8,224,0,24,16,false,false
wep2,73,1,0,0,false,-34,-17,224,0,24,16,false,true
wep2,74,1,0,0,false,-34,-26,224,0,24,16,false,true
wep2,75,1,90,0,false,-55,2,224,0,24,16,false,false
wep2,76,1,90,0,false,-45,-3,224,0,24,16,false,false
wep2,77,1,90,0,false,-55,2,224,0,24,16,false,false
wep2,78,1,90,0,false,-52,6,224,0,24,16,false,false
wep2,79,1,90,0,false,-52,7,224,0,24,16,false,false
wep2,80,1,90,0,false,-46,5,224,0,24,16,false,false
wep2,81,1,45,0,false,-41,-11,200,0,24,16,false,false
wep2,82,1,45,0,false,-41,-11,200,0,24,16,false,false
wep2,83,1,45,0,false,-47,-19,200,0,24,16,false,false
wep2,84,1,0,0,false,-32,-25,224,0,24,16,false,true
wep2,85,1,0,0,false,-32,-16,224,0,24,16,false,true
wep2,86,1,0,0,false,-14,-22,224,16,24,16,true,false
wep2,87,1,0,0,false,-14,-25,224,16,24,16,true,false
wep2,88,1,0,0,false,-12,-36,224,16,24,16,true,false
