label,animation_id,frame_id,delay
eff2,0,0,2,1,2,2,2
eff2,1,9,2,10,2,11,2
eff2,2,3,2,4,2,5,2
eff2,3,12,2,13,2,14,2
eff2,4,6,2,7,2,8,2
eff2,5,15,2,16,2,17,2
eff2,6,0,2,1,2,2,2
eff2,7,9,2,10,2,11,2
eff2,8,3,2,4,2,5,2
eff2,9,12,2,13,2,14,2
eff2,10,6,2,7,2,8,2
eff2,11,15,2,16,2,17,2
eff2,12,0,2,1,2,2,2
eff2,13,9,2,10,2,11,2
eff2,14,3,2,4,2,5,2
eff2,15,12,2,13,2,14,2
eff2,16,6,2,7,2,8,2
eff2,17,15,2,16,2,17,2
eff2,18,0,2,1,2,2,2
eff2,19,9,2,10,2,10,2
eff2,20,3,2,4,2,5,2
eff2,21,12,2,13,2,14,2
eff2,22,6,2,7,2,8,2
eff2,23,15,2,16,2,17,2
eff2,24,0,2,1,2,2,2,3,2
eff2,25,4,2,5,2,6,2,7,2
